index,Protein,rots_pvalues,rots_fdr,rots_logfc,rots_d
3347,3347,0.026873237345999702,0.19636963696369636,0.1106384535675442,-2.2805656452146534
3348,3348,0.14402107763099303,0.36410018552875695,0.060153896631483406,-1.5058112207811087
3349,3349,0.30366446489535404,0.5421389131066551,0.05166641260660754,-1.0656498898581723
3350,3350,0.3464691257236159,0.5883225458468178,0.06889315878230917,-0.976350282736406
3351,3351,0.21594812230963337,0.45235526788924846,0.0946124947683451,-1.2787551468341114
3352,3352,0.6514138340507645,0.819030554507733,0.015425937737703066,-0.4707620213086809
3353,3353,0.30837872940477956,0.5490930031672905,0.18228398041268612,-1.055300037639929
3354,3354,0.21379953985453465,0.45139644541167934,0.0808614857643093,-1.2847674142448724
3355,3355,0.4697005343624759,0.698437853746887,-0.08156269615217226,0.7514030633456806
3356,3356,0.4993238830339914,0.7171628721541156,0.05137174154885393,-0.7026601660727214
3357,3357,0.07798909009945079,0.27749820273184755,-0.2057972142809632,1.8138589476688836
3358,3358,0.3411459106427193,0.5818626120010861,0.05197294025147592,-0.9870693938327751
3359,3359,0.09083123051803474,0.2980707395498392,0.15869384630730288,-1.7404493572942006
3360,3360,0.7229041116223839,0.8598222222222223,-0.011482699824547637,0.36957819489629423
3361,3361,0.021961555588540894,0.18789808917197454,-2.98297821446453,2.3618191844367495
3362,3362,0.8481304735045272,0.9268887083671811,0.00633568164864684,-0.19975461278682546
3363,3363,0.4674001781208253,0.6961275626423691,0.1371925120452051,0.7552897655284257
3364,3364,0.4730306516253525,0.6992328519855595,-0.7340760362083341,0.7458806598696248
3365,3365,0.1862030577408342,0.41755214482487213,0.19467089403264914,-1.3644214977873517
3366,3366,0.24758497847706695,0.4931961500165948,0.17826834281670756,-1.1959354289695796
3367,3367,0.005953317500371085,0.1357142857142857,0.15026276524779902,-2.8398354278073623
